Experiment,Temperature,GrowthRate,Voltage,Pressure,Time
1,575,50.0,0.1,10,2
1,575,50.0,0.1,10,4
1,575,50.0,0.1,10,6
1,575,50.0,0.1,10,8
1,575,50.0,0.1,10,10
1,575,50.0,0.1,10,12
1,575,50.0,0.1,10,14
1,575,50.0,0.1,10,16
1,575,50.0,0.1,10,18
1,575,50.0,0.1,10,20
1,575,50.0,0.1,10,22
1,575,50.0,0.1,10,24
1,575,50.0,0.1,10,26
1,575,50.0,0.1,10,28
1,575,50.0,0.1,10,30
1,575,50.0,0.1,10,32
1,575,50.0,0.1,10,34
1,575,50.0,0.1,10,36
1,575,50.0,0.1,10,38
1,575,50.0,0.1,10,40
1,575,50.0,0.1,10,42
1,575,50.0,0.1,10,44
1,575,50.0,0.1,10,46
1,575,50.0,0.1,10,48
1,575,50.0,0.1,10,50
1,575,50.0,0.1,10,52
1,575,50.0,0.1,10,54
1,575,50.0,0.1,10,56
1,575,50.0,0.1,10,58
1,575,50.0,0.1,10,60
1,575,50.0,0.1,10,62
1,575,50.0,0.1,10,64
1,575,50.0,0.1,10,66
1,575,50.0,0.1,10,68
1,575,50.0,0.1,10,70
1,575,50.0,0.1,10,72
1,575,50.0,0.1,10,74
1,575,50.0,0.1,10,76
1,575,50.0,0.1,10,78
1,575,50.0,0.1,10,80
1,575,50.0,0.1,10,82
1,575,50.0,0.1,10,84
1,575,50.0,0.1,10,86
1,575,50.0,0.1,10,88
1,575,50.0,0.1,10,90
1,575,50.0,0.1,10,92
1,575,50.0,0.1,10,94
1,575,50.0,0.1,10,96
1,575,50.0,0.1,10,98
1,575,50.0,0.1,10,100
1,575,50.0,0.1,10,102
1,575,50.0,0.1,10,104
1,575,50.0,0.1,10,106
1,575,50.0,0.1,10,108
1,575,50.0,0.1,10,110
1,575,50.0,0.1,10,112
1,575,50.0,0.1,10,114
1,575,50.0,0.1,10,116
1,575,50.0,0.1,10,118
1,575,50.0,0.1,10,120
1,575,50.0,0.1,10,122
1,575,50.0,0.1,10,124
1,575,50.0,0.1,10,126
1,575,50.0,0.1,10,128
1,575,50.0,0.1,10,130
1,575,50.0,0.1,10,132
1,575,50.0,0.1,10,134
1,575,50.0,0.1,10,136
1,575,50.0,0.1,10,138
1,575,50.0,0.1,10,140
1,575,50.0,0.1,10,142
1,575,50.0,0.1,10,144
1,575,50.0,0.1,10,146
1,575,50.0,0.1,10,148
1,575,50.0,0.1,10,150
1,575,50.0,0.1,10,152
1,575,50.0,0.1,10,154
1,575,50.0,0.1,10,156
1,575,50.0,0.1,10,158
1,575,50.0,0.1,10,160
1,575,50.0,0.1,10,162
1,575,50.0,0.1,10,164
1,575,50.0,0.1,10,166
1,575,50.0,0.1,10,168
1,575,50.0,0.1,10,170
1,575,50.0,0.1,10,172
1,575,50.0,0.1,10,174
1,575,50.0,0.1,10,176
1,575,50.0,0.1,10,178
1,575,50.0,0.1,10,180
1,575,50.0,0.1,10,182
1,575,50.0,0.1,10,184
1,575,50.0,0.1,10,186
1,575,50.0,0.1,10,188
1,575,50.0,0.1,10,190
1,575,50.0,0.1,10,192
1,575,50.0,0.1,10,194
1,575,50.0,0.1,10,196
1,575,50.0,0.1,10,198
1,575,50.0,0.1,10,200
1,575,50.0,0.1,10,202
1,575,50.0,0.1,10,204
1,575,50.0,0.1,10,206
1,575,50.0,0.1,10,208
1,575,50.0,0.1,10,210
1,575,50.0,0.1,10,212
1,575,50.0,0.1,10,214
1,575,50.0,0.1,10,216
1,575,50.0,0.1,10,218
1,575,50.0,0.1,10,220
1,575,50.0,0.1,10,222
1,575,50.0,0.1,10,224
1,575,50.0,0.1,10,226
1,575,50.0,0.1,10,228
1,575,50.0,0.1,10,230
1,575,50.0,0.1,10,232
1,575,50.0,0.1,10,234
1,575,50.0,0.1,10,236
1,575,50.0,0.1,10,238
1,575,50.0,0.1,10,240
1,575,50.0,0.1,10,242
1,575,50.0,0.1,10,244
1,575,50.0,0.1,10,246
1,575,50.0,0.1,10,248
1,575,50.0,0.1,10,250
1,575,50.0,0.1,10,252
1,575,50.0,0.1,10,254
1,575,50.0,0.1,10,256
1,575,50.0,0.1,10,258
1,575,50.0,0.1,10,260
1,575,50.0,0.1,10,262
1,575,50.0,0.1,10,264
1,575,50.0,0.1,10,266
1,575,50.0,0.1,10,268
1,575,50.0,0.1,10,270
1,575,50.0,0.1,10,272
1,575,50.0,0.1,10,274
1,575,50.0,0.1,10,276
1,575,50.0,0.1,10,278
1,575,50.0,0.1,10,280
1,575,50.0,0.1,10,282
1,575,50.0,0.1,10,284
1,575,50.0,0.1,10,286
1,575,50.0,0.1,10,288
1,575,50.0,0.1,10,290
1,575,50.0,0.1,10,292
1,575,50.0,0.1,10,294
1,575,50.0,0.1,10,296
1,575,50.0,0.1,10,298
1,575,50.0,0.1,10,300
1,575,50.0,0.1,10,302
1,575,50.0,0.1,10,304
1,575,50.0,0.1,10,306
1,575,50.0,0.1,10,308
1,575,50.0,0.1,10,310
1,575,50.0,0.1,10,312
1,575,50.0,0.1,10,314
1,575,50.0,0.1,10,316
1,575,50.0,0.1,10,318
1,575,50.0,0.1,10,320
1,575,50.0,0.1,10,322
1,575,50.0,0.1,10,324
1,575,50.0,0.1,10,326
1,575,50.0,0.1,10,328
1,575,50.0,0.1,10,330
1,575,50.0,0.1,10,332
1,575,50.0,0.1,10,334
1,575,50.0,0.1,10,336
1,575,50.0,0.1,10,338
1,575,50.0,0.1,10,340
1,575,50.0,0.1,10,342
1,575,50.0,0.1,10,344
1,575,50.0,0.1,10,346
1,575,50.0,0.1,10,348
1,575,50.0,0.1,10,350
1,575,50.0,0.1,10,352
1,575,50.0,0.1,10,354
1,575,50.0,0.1,10,356
1,575,50.0,0.1,10,358
1,575,50.0,0.1,10,360
1,575,50.0,0.1,10,362
1,575,50.0,0.1,10,364
1,575,50.0,0.1,10,366
1,575,50.0,0.1,10,368
1,575,50.0,0.1,10,370
1,575,50.0,0.1,10,372
1,575,50.0,0.1,10,374
1,575,50.0,0.1,10,376
1,575,50.0,0.1,10,378
1,575,50.0,0.1,10,380
1,575,50.0,0.1,10,382
1,575,50.0,0.1,10,384
1,575,50.0,0.1,10,386
1,575,50.0,0.1,10,388
1,575,50.0,0.1,10,390
1,575,50.0,0.1,10,392
1,575,50.0,0.1,10,394
1,575,50.0,0.1,10,396
1,575,50.0,0.1,10,398
1,575,50.0,0.1,10,400
1,575,50.0,0.1,10,402
1,575,50.0,0.1,10,404
1,575,50.0,0.1,10,406
1,575,50.0,0.1,10,408
1,575,50.0,0.1,10,410
1,575,50.0,0.1,10,412
1,575,50.0,0.1,10,414
1,575,50.0,0.1,10,416
1,575,50.0,0.1,10,418
1,575,50.0,0.1,10,420
1,575,50.0,0.1,10,422
1,575,50.0,0.1,10,424
1,575,50.0,0.1,10,426
1,575,50.0,0.1,10,428
1,575,50.0,0.1,10,430
1,575,50.0,0.1,10,432
1,575,50.0,0.1,10,434
1,575,50.0,0.1,10,436
1,575,50.0,0.1,10,438
1,575,50.0,0.1,10,440
1,575,50.0,0.1,10,442
1,575,50.0,0.1,10,444
1,575,50.0,0.1,10,446
1,575,50.0,0.1,10,448
1,575,50.0,0.1,10,450
1,575,50.0,0.1,10,452
1,575,50.0,0.1,10,454
1,575,50.0,0.1,10,456
1,575,50.0,0.1,10,458
1,575,50.0,0.1,10,460
1,575,50.0,0.1,10,462
1,575,50.0,0.1,10,464
1,575,50.0,0.1,10,466
1,575,50.0,0.1,10,468
1,575,50.0,0.1,10,470
1,575,50.0,0.1,10,472
1,575,50.0,0.1,10,474
1,575,50.0,0.1,10,476
1,575,50.0,0.1,10,478
1,575,50.0,0.1,10,480
1,575,50.0,0.1,10,482
1,575,50.0,0.1,10,484
1,575,50.0,0.1,10,486
1,575,50.0,0.1,10,488
1,575,50.0,0.1,10,490
1,575,50.0,0.1,10,492
1,575,50.0,0.1,10,494
1,575,50.0,0.1,10,496
1,575,50.0,0.1,10,498
1,575,50.0,0.1,10,500
1,575,50.0,0.1,10,502
1,575,50.0,0.1,10,504
1,575,50.0,0.1,10,506
1,575,50.0,0.1,10,508
1,575,50.0,0.1,10,510
1,575,50.0,0.1,10,512
1,575,50.0,0.1,10,514
1,575,50.0,0.1,10,516
1,575,50.0,0.1,10,518
1,575,50.0,0.1,10,520
1,575,50.0,0.1,10,522
1,575,50.0,0.1,10,524
1,575,50.0,0.1,10,526
1,575,50.0,0.1,10,528
1,575,50.0,0.1,10,530
1,575,50.0,0.1,10,532
1,575,50.0,0.1,10,534
1,575,50.0,0.1,10,536
1,575,50.0,0.1,10,538
1,575,50.0,0.1,10,540
1,575,50.0,0.1,10,542
1,575,50.0,0.1,10,544
1,575,50.0,0.1,10,546
1,575,50.0,0.1,10,548
1,575,50.0,0.1,10,550
1,575,50.0,0.1,10,552
1,575,50.0,0.1,10,554
1,575,50.0,0.1,10,556
1,575,50.0,0.1,10,558
1,575,50.0,0.1,10,560
1,575,50.0,0.1,10,562
1,575,50.0,0.1,10,564
1,575,50.0,0.1,10,566
